"Date","Price","Open","High","Low","Vol.","Change %"
"14/11/2023","88,109.12","88,109.12","88,109.12","88,109.12","","0.96%"
"13/11/2023","87,270.63","87,270.63","87,270.63","87,270.63","","-0.35%"
"10/11/2023","87,579.05","87,579.05","87,579.05","87,579.05","","-0.55%"
"09/11/2023","88,061.13","88,061.13","88,061.13","88,061.13","","0.40%"
"08/11/2023","87,710.49","87,710.49","87,710.49","87,710.49","","0.26%"
"07/11/2023","87,478.90","87,478.90","87,478.90","87,478.90","","-0.29%"
"06/11/2023","87,730.52","87,730.52","87,730.52","87,730.52","","0.28%"
"03/11/2023","87,488.18","87,488.18","87,488.18","87,488.18","","1.14%"
"02/11/2023","86,504.36","86,504.36","86,504.36","86,504.36","","0.90%"
"01/11/2023","85,734.24","85,734.24","85,734.24","85,734.24","","0.85%"
"31/10/2023","85,011.76","85,011.76","85,011.76","85,011.76","","0.12%"
"30/10/2023","84,913.03","84,913.03","84,913.03","84,913.03","","-0.79%"
"27/10/2023","85,589.19","85,589.19","85,589.19","85,589.19","","0.21%"
"26/10/2023","85,406.90","85,406.90","85,406.90","85,406.90","","-0.61%"
"25/10/2023","85,927.85","85,927.85","85,927.85","85,927.85","","-0.04%"
"24/10/2023","85,959.42","85,959.42","85,959.42","85,959.42","","0.19%"
"23/10/2023","85,799.19","85,799.19","85,799.19","85,799.19","","-0.81%"
"20/10/2023","86,502.73","86,502.73","86,502.73","86,502.73","","-1.16%"
"19/10/2023","87,516.60","87,516.60","87,516.60","87,516.60","","-1.36%"
"18/10/2023","88,720.04","88,720.04","88,720.04","88,720.04","","0.30%"
"17/10/2023","88,450.34","88,450.34","88,450.34","88,450.34","","0.42%"
"16/10/2023","88,080.00","88,080.00","88,080.00","88,080.00","","-0.35%"
"13/10/2023","88,386.84","88,386.84","88,386.84","88,386.84","","-0.56%"
"12/10/2023","88,884.36","88,884.36","88,884.36","88,884.36","","0.04%"
"11/10/2023","88,852.25","88,852.25","88,852.25","88,852.25","","0.68%"
"10/10/2023","88,253.38","88,253.38","88,253.38","88,253.38","","1.01%"
"09/10/2023","87,368.41","87,368.41","87,368.41","87,368.41","","0.23%"
"06/10/2023","87,168.00","87,168.00","87,168.00","87,168.00","","0.41%"
"05/10/2023","86,808.51","86,808.51","86,808.51","86,808.51","","0.51%"
"04/10/2023","86,365.78","86,365.78","86,365.78","86,365.78","","-0.77%"
"03/10/2023","87,032.21","87,032.21","87,032.21","87,032.21","","-1.28%"
"02/10/2023","88,156.27","88,156.27","88,156.27","88,156.27","","-0.22%"
"29/09/2023","88,349.68","88,349.68","88,349.68","88,349.68","","0.34%"
"28/09/2023","88,050.34","88,050.34","88,050.34","88,050.34","","-0.07%"
"27/09/2023","88,113.25","88,113.25","88,113.25","88,113.25","","-0.11%"
"26/09/2023","88,211.59","88,211.59","88,211.59","88,211.59","","-0.54%"
"25/09/2023","88,692.09","88,692.09","88,692.09","88,692.09","","0.12%"
"22/09/2023","88,585.68","88,585.68","88,585.68","88,585.68","","0.05%"
"21/09/2023","88,540.53","88,540.53","88,540.53","88,540.53","","-1.37%"
"20/09/2023","89,768.31","89,768.31","89,768.31","89,768.31","","-0.46%"
"19/09/2023","90,184.24","90,184.24","90,184.24","90,184.24","","-0.47%"
"18/09/2023","90,607.13","90,607.13","90,607.13","90,607.13","","-0.66%"
"15/09/2023","91,207.38","91,207.38","91,207.38","91,207.38","","1.29%"
"14/09/2023","90,043.39","90,043.39","90,043.39","90,043.39","","0.48%"
"13/09/2023","89,615.46","89,615.46","89,615.46","89,615.46","","-0.69%"
"12/09/2023","90,241.72","90,241.72","90,241.72","90,241.72","","0.21%"
"11/09/2023","90,050.68","90,050.68","90,050.68","90,050.68","","0.55%"
"08/09/2023","89,558.96","89,558.96","89,558.96","89,558.96","","-0.19%"
"07/09/2023","89,729.41","89,729.41","89,729.41","89,729.41","","-0.86%"
"06/09/2023","90,511.56","90,511.56","90,511.56","90,511.56","","-0.75%"
"05/09/2023","91,198.92","91,198.92","91,198.92","91,198.92","","-0.02%"
"04/09/2023","91,213.56","91,213.56","91,213.56","91,213.56","","0.65%"
"01/09/2023","90,622.10","90,622.10","90,622.10","90,622.10","","-0.34%"
"31/08/2023","90,928.22","90,928.22","90,928.22","90,928.22","","0.27%"
"30/08/2023","90,683.16","90,683.16","90,683.16","90,683.16","","1.32%"
"29/08/2023","89,504.16","89,504.16","89,504.16","89,504.16","","0.73%"
"28/08/2023","88,856.17","88,856.17","88,856.17","88,856.17","","0.66%"
"25/08/2023","88,271.48","88,271.48","88,271.48","88,271.48","","-0.93%"
"24/08/2023","89,099.59","89,099.59","89,099.59","89,099.59","","0.48%"
"23/08/2023","88,672.07","88,672.07","88,672.07","88,672.07","","0.39%"
"22/08/2023","88,325.64","88,325.64","88,325.64","88,325.64","","0.10%"
"21/08/2023","88,234.74","88,234.74","88,234.74","88,234.74","","-0.44%"
"18/08/2023","88,624.76","88,624.76","88,624.76","88,624.76","","0.05%"
"17/08/2023","88,582.13","88,582.13","88,582.13","88,582.13","","-0.65%"
"16/08/2023","89,164.80","89,164.80","89,164.80","89,164.80","","-1.31%"
"15/08/2023","90,352.04","90,352.04","90,352.04","90,352.04","","0.38%"
"14/08/2023","90,005.58","90,005.58","90,005.58","90,005.58","","-0.85%"
"11/08/2023","90,772.64","90,772.64","90,772.64","90,772.64","","-0.23%"
"10/08/2023","90,986.05","90,986.05","90,986.05","90,986.05","","0.31%"
"09/08/2023","90,705.27","90,705.27","90,705.27","90,705.27","","0.37%"
"08/08/2023","90,373.86","90,373.86","90,373.86","90,373.86","","0.03%"
"07/08/2023","90,349.83","90,349.83","90,349.83","90,349.83","","-0.22%"
"04/08/2023","90,549.34","90,549.34","90,549.34","90,549.34","","0.19%"
"03/08/2023","90,380.53","90,380.53","90,380.53","90,380.53","","-0.58%"
"02/08/2023","90,909.26","90,909.26","90,909.26","90,909.26","","-1.29%"
"01/08/2023","92,097.26","92,097.26","92,097.26","92,097.26","","0.54%"
"31/07/2023","91,599.30","91,599.30","91,599.30","91,599.30","","0.09%"
"28/07/2023","91,515.53","91,515.53","91,515.53","91,515.53","","-0.70%"
"27/07/2023","92,161.63","92,161.63","92,161.63","92,161.63","","0.73%"
"26/07/2023","91,495.25","91,495.25","91,495.25","91,495.25","","0.85%"
"25/07/2023","90,724.73","90,724.73","90,724.73","90,724.73","","0.46%"
"24/07/2023","90,313.61","90,313.61","90,313.61","90,313.61","","-0.10%"
"21/07/2023","90,406.02","90,406.02","90,406.02","90,406.02","","-0.15%"
"20/07/2023","90,543.99","90,543.99","90,543.99","90,543.99","","0.02%"
"19/07/2023","90,527.59","90,527.59","90,527.59","90,527.59","","0.55%"
"18/07/2023","90,033.80","90,033.80","90,033.80","90,033.80","","-0.20%"
"17/07/2023","90,211.50","90,211.50","90,211.50","90,211.50","","-0.06%"
"14/07/2023","90,267.96","90,267.96","90,267.96","90,267.96","","0.78%"
"13/07/2023","89,573.66","89,573.66","89,573.66","89,573.66","","1.56%"
"12/07/2023","88,198.79","88,198.79","88,198.79","88,198.79","","0.38%"
"11/07/2023","87,867.30","87,867.30","87,867.30","87,867.30","","1.50%"
"10/07/2023","86,571.68","86,571.68","86,571.68","86,571.68","","-0.54%"
"07/07/2023","87,043.63","87,043.63","87,043.63","87,043.63","","-1.69%"
"06/07/2023","88,541.34","88,541.34","88,541.34","88,541.34","","-1.24%"
"05/07/2023","89,650.40","89,650.40","89,650.40","89,650.40","","-0.35%"
"04/07/2023","89,967.86","89,967.86","89,967.86","89,967.86","","0.45%"
"03/07/2023","89,560.97","89,560.97","89,560.97","89,560.97","","0.59%"
"30/06/2023","89,031.72","89,031.72","89,031.72","89,031.72","","0.12%"
"29/06/2023","88,926.43","88,926.43","88,926.43","88,926.43","","0.13%"
"28/06/2023","88,811.52","88,811.52","88,811.52","88,811.52","","1.10%"
"27/06/2023","87,844.88","87,844.88","87,844.88","87,844.88","","0.56%"
"26/06/2023","87,356.70","87,356.70","87,356.70","87,356.70","","-0.29%"
"23/06/2023","87,608.94","87,608.94","87,608.94","87,608.94","","-1.34%"
"22/06/2023","88,796.83","88,796.83","88,796.83","88,796.83","","-1.63%"
"21/06/2023","90,270.50","90,270.50","90,270.50","90,270.50","","-0.58%"
"20/06/2023","90,800.26","90,800.26","90,800.26","90,800.26","","0.87%"
"19/06/2023","90,021.30","90,021.30","90,021.30","90,021.30","","0.60%"
"16/06/2023","89,482.68","89,482.68","89,482.68","89,482.68","","1.06%"
"15/06/2023","88,545.78","88,545.78","88,545.78","88,545.78","","0.20%"
"14/06/2023","88,370.11","88,370.11","88,370.11","88,370.11","","0.32%"
"13/06/2023","88,087.73","88,087.73","88,087.73","88,087.73","","0.23%"
"12/06/2023","87,884.23","87,884.23","87,884.23","87,884.23","","0.00%"
"09/06/2023","87,884.23","87,884.23","87,884.23","87,884.23","","0.33%"
"08/06/2023","87,598.31","87,598.31","87,598.31","87,598.31","","-0.26%"
"07/06/2023","87,824.48","87,824.48","87,824.48","87,824.48","","-0.16%"
"06/06/2023","87,968.20","87,968.20","87,968.20","87,968.20","","-1.20%"
"05/06/2023","89,037.10","89,037.10","89,037.10","89,037.10","","1.00%"
"02/06/2023","88,159.46","88,159.46","88,159.46","88,159.46","","0.48%"
"01/06/2023","87,735.86","87,735.86","87,735.86","87,735.86","","0.28%"
"31/05/2023","87,494.78","87,494.78","87,494.78","87,494.78","","-1.64%"
"30/05/2023","88,950.30","88,950.30","88,950.30","88,950.30","","-0.11%"
"29/05/2023","89,050.13","89,050.13","89,050.13","89,050.13","","0.88%"
"26/05/2023","88,277.58","88,277.58","88,277.58","88,277.58","","0.24%"
"25/05/2023","88,068.83","88,068.83","88,068.83","88,068.83","","-1.03%"
"24/05/2023","88,989.45","88,989.45","88,989.45","88,989.45","","-0.63%"
"23/05/2023","89,558.02","89,558.02","89,558.02","89,558.02","","-0.04%"
"22/05/2023","89,593.37","89,593.37","89,593.37","89,593.37","","-0.22%"
"19/05/2023","89,794.06","89,794.06","89,794.06","89,794.06","","0.59%"
"18/05/2023","89,266.87","89,266.87","89,266.87","89,266.87","","0.52%"
"17/05/2023","88,800.67","88,800.67","88,800.67","88,800.67","","-0.49%"
"16/05/2023","89,237.84","89,237.84","89,237.84","89,237.84","","-0.45%"
"15/05/2023","89,637.98","89,637.98","89,637.98","89,637.98","","0.33%"
"12/05/2023","89,339.52","89,339.52","89,339.52","89,339.52","","0.07%"
"11/05/2023","89,281.27","89,281.27","89,281.27","89,281.27","","0.06%"
"10/05/2023","89,225.95","89,225.95","89,225.95","89,225.95","","0.01%"
"09/05/2023","89,213.55","89,213.55","89,213.55","89,213.55","","-0.17%"
"08/05/2023","89,365.95","89,365.95","89,365.95","89,365.95","","0.78%"
"05/05/2023","88,672.27","88,672.27","88,672.27","88,672.27","","0.37%"
"04/05/2023","88,341.85","88,341.85","88,341.85","88,341.85","","-0.06%"
"03/05/2023","88,394.61","88,394.61","88,394.61","88,394.61","","-0.96%"
"02/05/2023","89,254.30","89,254.30","89,254.30","89,254.30","","-0.92%"
"01/05/2023","90,079.12","90,079.12","90,079.12","90,079.12","","0.35%"
"28/04/2023","89,767.06","89,767.06","89,767.06","89,767.06","","0.22%"
"27/04/2023","89,565.59","89,565.59","89,565.59","89,565.59","","-0.32%"
"26/04/2023","89,854.84","89,854.84","89,854.84","89,854.84","","-0.08%"
"24/04/2023","89,924.73","89,924.73","89,924.73","89,924.73","","-0.11%"
"21/04/2023","90,027.78","90,027.78","90,027.78","90,027.78","","-0.43%"
"20/04/2023","90,418.49","90,418.49","90,418.49","90,418.49","","-0.05%"
"19/04/2023","90,459.62","90,459.62","90,459.62","90,459.62","","0.08%"
"18/04/2023","90,390.05","90,390.05","90,390.05","90,390.05","","-0.29%"
"17/04/2023","90,652.09","90,652.09","90,652.09","90,652.09","","0.28%"
"14/04/2023","90,398.50","90,398.50","90,398.50","90,398.50","","0.51%"
"13/04/2023","89,938.46","89,938.46","89,938.46","89,938.46","","-0.27%"
"12/04/2023","90,181.13","90,181.13","90,181.13","90,181.13","","0.46%"
"11/04/2023","89,763.84","89,763.84","89,763.84","89,763.84","","1.26%"
"07/04/2023","88,645.97","88,645.97","88,645.97","88,645.97","","0.00%"
"06/04/2023","88,645.97","88,645.97","88,645.97","88,645.97","","-0.25%"
"05/04/2023","88,868.94","88,868.94","88,868.94","88,868.94","","0.02%"
"04/04/2023","88,853.37","88,853.37","88,853.37","88,853.37","","0.18%"
"03/04/2023","88,693.66","88,693.66","88,693.66","88,693.66","","0.63%"
"31/03/2023","88,137.90","88,137.90","88,137.90","88,137.90","","0.78%"
"30/03/2023","87,453.93","87,453.93","87,453.93","87,453.93","","1.03%"
"29/03/2023","86,562.63","86,562.63","86,562.63","86,562.63","","0.23%"
"28/03/2023","86,363.20","86,363.20","86,363.20","86,363.20","","1.05%"
"27/03/2023","85,467.90","85,467.90","85,467.90","85,467.90","","0.10%"
"24/03/2023","85,385.08","85,385.08","85,385.08","85,385.08","","-0.19%"
"23/03/2023","85,549.29","85,549.29","85,549.29","85,549.29","","-0.67%"
"22/03/2023","86,126.02","86,126.02","86,126.02","86,126.02","","0.87%"
"21/03/2023","85,383.45","85,383.45","85,383.45","85,383.45","","0.83%"
"20/03/2023","84,679.63","84,679.63","84,679.63","84,679.63","","-1.37%"
"17/03/2023","85,859.51","85,859.51","85,859.51","85,859.51","","0.43%"
"16/03/2023","85,495.95","85,495.95","85,495.95","85,495.95","","-1.45%"
"15/03/2023","86,757.46","86,757.46","86,757.46","86,757.46","","0.86%"
"14/03/2023","86,014.24","86,014.24","86,014.24","86,014.24","","-1.41%"
"13/03/2023","87,240.16","87,240.16","87,240.16","87,240.16","","-0.50%"
"10/03/2023","87,677.09","87,677.09","87,677.09","87,677.09","","-2.27%"
"09/03/2023","89,715.02","89,715.02","89,715.02","89,715.02","","0.50%"
"08/03/2023","89,268.57","89,268.57","89,268.57","89,268.57","","-0.56%"
"07/03/2023","89,774.63","89,774.63","89,774.63","89,774.63","","0.52%"
"06/03/2023","89,313.62","89,313.62","89,313.62","89,313.62","","0.66%"
"03/03/2023","88,725.02","88,725.02","88,725.02","88,725.02","","0.41%"
