Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT
Date,,,,,,
2025-06-27,113219.1015625,113219.1015625,114434.0,113219.1015625,113704.8984375,0
2025-06-30,113592.796875,113592.796875,114050.203125,113219.1015625,113219.1015625,0
2025-07-01,113577.3984375,113577.3984375,114041.203125,113577.3984375,113592.796875,0
2025-07-02,114332.796875,114332.796875,114535.8984375,113521.3984375,113579.703125,0
2025-07-03,114311.5,114311.5,114681.1015625,113612.1015625,114337.0,0
2025-07-04,114406.5,114406.5,114590.3984375,114227.0,114311.5,0
2025-07-07,114224.703125,114224.703125,114592.6015625,113995.703125,114406.5,0
2025-07-08,114243.203125,114243.203125,114500.5,113705.203125,114224.703125,0
2025-07-09,113550.203125,113550.203125,114243.203125,113455.0,114243.203125,0
2025-07-10,114222.8984375,114222.8984375,114510.8984375,113550.203125,113550.203125,0
2025-07-11,114102.796875,114102.796875,114629.703125,113943.796875,114222.8984375,0
2025-07-14,113973.3984375,113973.3984375,114282.5,113813.1015625,114102.796875,0
2025-07-15,114775.203125,114775.203125,114807.3984375,113978.0,113978.0,0
2025-07-16,113863.1015625,113863.1015625,114775.203125,113636.6015625,114775.203125,0
2025-07-17,114890.6015625,114890.6015625,114920.8984375,113863.1015625,113863.1015625,0
2025-07-18,116461.8984375,116461.8984375,116717.5,114890.6015625,114890.6015625,0
2025-07-21,115278.203125,115278.203125,116461.8984375,115014.796875,116461.8984375,0
2025-07-22,115397.8984375,115397.8984375,115895.8984375,115071.5,115278.203125,0
2025-07-23,116195.6015625,116195.6015625,116348.203125,115397.8984375,115397.8984375,0
2025-07-24,115826.6015625,115826.6015625,116498.703125,115681.796875,116195.6015625,0
2025-07-25,115260.703125,115260.703125,115826.6015625,115146.1015625,115826.6015625,0
2025-07-28,115671.0,115671.0,115767.203125,115260.703125,115260.703125,0
2025-07-29,115762.8984375,115762.8984375,115762.8984375,114950.703125,115671.0,0
2025-07-30,116451.1015625,116451.1015625,116672.1015625,115544.1015625,115762.8984375,0
2025-07-31,116271.296875,116271.296875,116451.1015625,115719.296875,116451.1015625,0
2025-08-01,115196.796875,115196.796875,116271.296875,115048.703125,116271.296875,0
2025-08-04,115219.1015625,115219.1015625,115258.0,114781.8984375,115196.796875,0
2025-08-05,116637.796875,116637.796875,116687.3984375,115219.1015625,115219.1015625,0
2025-08-06,117612.1015625,117612.1015625,117680.703125,116637.796875,116637.796875,0
2025-08-07,117448.6015625,117448.6015625,117629.0,117279.796875,117612.1015625,0
2025-08-08,117126.0,117126.0,117448.6015625,116902.796875,117448.6015625,0
2025-08-11,117627.203125,117627.203125,117726.6015625,117126.3984375,117126.3984375,0
2025-08-12,118106.296875,118106.296875,118170.8984375,117414.203125,117627.203125,0
2025-08-13,117394.703125,117394.703125,118237.6015625,117237.6015625,118108.703125,0
2025-08-14,118072.296875,118072.296875,118409.3984375,117452.0,117452.0,0
2025-08-15,118934.6015625,118934.6015625,118934.6015625,117936.703125,118072.296875,0
2025-08-18,119210.1015625,119210.1015625,119259.203125,118583.296875,118934.6015625,0
2025-08-19,118426.0,118426.0,119265.796875,118308.203125,119265.796875,0
2025-08-20,118908.3984375,118908.3984375,119341.796875,118107.8984375,118618.0,0
2025-08-21,120292.203125,120292.203125,120292.203125,118944.0,118944.0,0
2025-08-22,119618.6015625,119618.6015625,120393.1015625,119618.6015625,120307.6015625,0
2025-08-25,119697.296875,119697.296875,120792.8984375,119611.0,119630.796875,0
2025-08-26,119220.3984375,119220.3984375,119878.3984375,118980.5,119711.6015625,0
2025-08-27,119617.8984375,119617.8984375,119678.1015625,119280.5,119285.203125,0
2025-08-28,119959.296875,119959.296875,119959.6015625,119536.0,119700.0,0
2025-08-29,119879.796875,119879.796875,120118.796875,119544.296875,119971.796875,0
2025-09-01,119328.203125,119328.203125,119933.796875,119050.3984375,119933.796875,0
2025-09-02,119116.203125,119116.203125,119483.5,118991.203125,119479.5,0
2025-09-03,117023.6015625,117023.6015625,119188.6015625,116922.796875,119188.6015625,0
2025-09-04,118419.1015625,118419.1015625,118488.203125,117244.6015625,117244.6015625,0
2025-09-05,119041.3984375,119041.3984375,119168.6015625,118441.6015625,118441.6015625,0
2025-09-08,118761.1015625,118761.1015625,119051.6015625,118456.703125,119051.6015625,0
2025-09-09,118205.203125,118205.203125,118823.3984375,117935.3984375,118823.3984375,0
2025-09-10,118601.203125,118601.203125,118694.3984375,118063.3984375,118240.203125,0
2025-09-11,118270.203125,118270.203125,118611.296875,117969.3984375,118611.296875,0
2025-09-12,119085.296875,119085.296875,119391.0,118281.296875,118281.296875,0
2025-09-15,118943.203125,118943.203125,119102.8984375,118150.5,119102.8984375,0
2025-09-16,119286.8984375,119286.8984375,119424.6015625,118954.3984375,118954.3984375,0
2025-09-17,118495.203125,118495.203125,119292.0,118294.796875,119292.0,0
2025-09-18,117530.0,117530.0,118514.6015625,117426.296875,118514.6015625,0
2025-09-19,117911.1015625,117911.1015625,118548.796875,117530.0,117530.0,0
2025-09-22,118416.6015625,118416.6015625,118888.1015625,117914.6015625,117914.6015625,0
2025-09-23,118887.5,118887.5,119305.796875,118404.5,118416.6015625,0
2025-09-24,117801.296875,117801.296875,118896.296875,117530.703125,118896.296875,0
2025-09-25,117915.6015625,117915.6015625,118193.703125,117444.1015625,117801.296875,0
2025-09-26,118114.1015625,118114.1015625,118220.296875,117557.1015625,117915.6015625,0
2025-09-29,119131.203125,119131.203125,119249.203125,118122.203125,118122.203125,0
2025-09-30,118943.703125,118943.703125,119529.5,118857.5,119132.1015625,0
2025-10-01,118903.0,118903.0,119154.1015625,118410.0,118944.796875,0
2025-10-02,120252.203125,120252.203125,120520.203125,118904.203125,118904.203125,0
2025-10-03,120809.0,120809.0,120918.203125,120009.5,120252.203125,0
2025-10-06,120732.796875,120732.796875,121336.796875,120586.796875,120812.6015625,0
2025-10-07,120403.0,120403.0,120734.0,120138.8984375,120734.0,0
2025-10-08,120279.5,120279.5,120496.296875,119856.6015625,120403.0,0
2025-10-09,120577.5,120577.5,120947.703125,120279.5,120279.5,0
2025-10-10,120423.6015625,120423.6015625,120684.6015625,120152.703125,120577.5,0
2025-10-13,119408.203125,119408.203125,120423.6015625,119209.796875,120423.6015625,0
2025-10-14,119631.703125,119631.703125,119840.203125,118884.1015625,119408.203125,0
2025-10-15,120863.3984375,120863.3984375,120863.3984375,119633.3984375,119633.3984375,0
2025-10-16,121904.8984375,121904.8984375,122460.1015625,120863.3984375,120863.3984375,0
2025-10-17,120922.1015625,120922.1015625,121904.8984375,120852.3984375,121904.8984375,0
2025-10-20,121414.6015625,121414.6015625,121448.203125,120496.296875,120922.1015625,0
2025-10-21,122260.6015625,122260.6015625,122535.703125,121416.5,121416.5,0
2025-10-22,121390.8984375,121390.8984375,122260.6015625,120969.796875,122260.6015625,0
