"Date","Price","Open","High","Low","Vol.","Change %"
"19/01/2021","75,196.80","75,196.80","75,196.80","75,196.80","","1.19%"
"18/01/2021","74,309.26","74,309.26","74,309.26","74,309.26","","-0.78%"
"15/01/2021","74,893.60","74,893.60","74,893.60","74,893.60","","0.00%"
"14/01/2021","74,892.69","74,892.69","74,892.69","74,892.69","","0.43%"
"13/01/2021","74,570.75","74,570.75","74,570.75","74,570.75","","0.11%"
"12/01/2021","74,486.89","74,486.89","74,486.89","74,486.89","","-0.27%"
"11/01/2021","74,688.51","74,688.51","74,688.51","74,688.51","","-0.90%"
"08/01/2021","75,365.54","75,365.54","75,365.54","75,365.54","","0.68%"
"07/01/2021","74,853.47","74,853.47","74,853.47","74,853.47","","1.59%"
"06/01/2021","73,683.61","73,683.61","73,683.61","73,683.61","","-1.12%"
"05/01/2021","74,516.38","74,516.38","74,516.38","74,516.38","","-0.04%"
"04/01/2021","74,543.02","74,543.02","74,543.02","74,543.02","","1.47%"
"31/12/2020","73,459.59","73,459.59","73,459.59","73,459.59","","-1.43%"
"30/12/2020","74,522.79","74,522.79","74,522.79","74,522.79","","-0.14%"
"29/12/2020","74,624.69","74,624.69","74,624.69","74,624.69","","0.53%"
"24/12/2020","74,229.11","74,229.11","74,229.11","74,229.11","","0.33%"
"23/12/2020","73,988.12","73,988.12","73,988.12","73,988.12","","0.66%"
"22/12/2020","73,502.92","73,502.92","73,502.92","73,502.92","","-1.05%"
"21/12/2020","74,282.75","74,282.75","74,282.75","74,282.75","","-0.08%"
"18/12/2020","74,344.92","74,344.92","74,344.92","74,344.92","","-1.20%"
"17/12/2020","75,249.30","75,249.30","75,249.30","75,249.30","","1.16%"
"16/12/2020","74,386.77","74,386.77","74,386.77","74,386.77","","0.72%"
"15/12/2020","73,853.51","73,853.51","73,853.51","73,853.51","","-0.43%"
"14/12/2020","74,175.42","74,175.42","74,175.42","74,175.42","","0.27%"
"11/12/2020","73,978.65","73,978.65","73,978.65","73,978.65","","-0.61%"
"10/12/2020","74,429.74","74,429.74","74,429.74","74,429.74","","-0.67%"
"09/12/2020","74,934.81","74,934.81","74,934.81","74,934.81","","0.61%"
"08/12/2020","74,481.08","74,481.08","74,481.08","74,481.08","","0.19%"
"07/12/2020","74,339.51","74,339.51","74,339.51","74,339.51","","0.62%"
"04/12/2020","73,883.13","73,883.13","73,883.13","73,883.13","","0.28%"
