Date,CBA,NAB,WBC,ANZ,MQG,Market_Excess_Return
2001-10-03,-0.0062789296129284,0.015936813724476202,-0.0026239323083493997,-0.0216249335025296,-0.0022083074604306004,-0.00432921050847596
2001-10-04,-0.0030652941895784004,-0.019765543519203798,0.0036945775209337997,0.0219901760311463,9.009850880569998e-05,0.001350021301307842
2001-10-05,0.010333124846736399,0.0223958173211269,0.019318270986605802,0.025344080348387803,0.010539867506627299,0.015638689530849622
2001-10-08,-0.0216877396843527,0.0071352879296318,0.00018852376382239998,-0.011857340247020601,0.0023112890038912,-0.012463912751579048
2001-10-09,-0.0128534529669358,0.0005233396742184,0.012688787300119799,-0.027774985436224,0.005282655983071,0.00405447706074163
2001-10-10,0.0037590623104573,-0.0186543097535532,0.017260895188570703,0.0233467879793188,-0.017469579379855597,-0.005254026021809526
2001-10-11,0.0201579063980701,0.0236259852913197,0.007582500517183901,0.0182341407346966,0.0171867381629902,0.019858660391298518
2001-10-12,0.0131228320696892,0.0064878929142083005,-0.0204687462000769,-0.0007581013144609,-0.011914911252798501,0.007934689762033426
2001-10-15,-0.0004249126513579,-0.0109639010632158,0.0069688594376593,0.0033261582763121997,-0.0170740398356244,-0.008237681124792012
2001-10-16,-0.008401085860310601,0.00438993535895,-0.0023025029207977,0.012034113962106699,-0.016081762760742,0.0034936094721532097
2001-10-17,0.0257903319773585,0.039714588786872194,0.0195833811022979,-0.0093646015810794,0.007975055645707699,0.008277636901158842
2001-10-18,-0.0212642273430501,0.0006258622412805,-0.013974615949637,-0.021044231126536098,-0.0046747749196339,-0.011980114931996527
2001-10-19,-0.015614694595200401,-0.016972671733709997,0.006892743220148,-0.0055029331299184,-0.0013390270688266,-0.007737822427543788
2001-10-22,0.010219033039378099,-0.0052931719876559,0.00010581429599400001,0.011729804721921599,-0.008304394776917901,0.001286920287928257
2001-10-23,0.009390341255237399,0.0218021944442803,0.0346229212003997,0.017472544953175,-0.0071146543008642,0.010283805635137805
2001-10-24,0.02234951671283,0.0064599145917663,-0.0039718552736442,0.0102295904232936,0.0246973052659834,0.01003049031635111
2001-10-25,0.014965132001826,0.0060188369662766,-0.0031686972252839996,0.0066904818758422,0.007744717778596801,0.002691109213318439
2001-10-26,-0.0012426164320643,0.0064090409851001,0.0025554763402722003,0.0055071146132413,0.010878683193929399,0.006580220431168733
2001-10-29,0.0049288612144376,-0.0050147639450475,0.0018677974342483,0.0060965456647872,-0.0004380519221121,-0.006296793667402161
2001-10-30,0.0080582800049118,-0.0077325682310877,-0.0001746854359494,0.0005554124639371,-0.0212553470886074,-0.001213766067361959
2001-10-31,0.0137758987039702,0.012010084433874,0.005259733810100801,0.0007227645737813,0.0187761481940267,-0.0011338762277179383
2001-11-01,0.0004962897911014,-0.0024643371781562003,-0.008958156002109901,0.0028067498045238996,-0.0047712232208047,0.0005298121263644328
2001-11-02,0.0008313831942761,-0.023125866207688698,0.012231589297942099,0.0100013590182031,-0.0064382943465543,-0.002841169352939603
2001-11-05,0.0163079431179329,-0.0159465540741397,0.0232564822428139,0.0083147042467209,-0.006477539606148199,-0.0045349235624211936
2001-11-06,0.026454978669157,0.039375340157527,0.0129832648276762,0.009252729377527299,0.021111163436359,0.01821474895248115
