Date,Equal Weight,Minimum Variance,Maximum Sharpe
2023-11-14,-0.06150675326004407,-0.04924822193718881,-0.07477234729308901
2023-11-15,-0.04922155312145793,-0.04542305887074538,-0.055150285277042466
2023-11-16,-0.04956511853860024,-0.04604571241918598,-0.0541979168965252
2023-11-17,-0.05149514473786443,-0.04667482974843962,-0.05572758598864491
2023-11-20,-0.04542702607328486,-0.04039669247008981,-0.05007211530917277
2023-11-21,-0.04277470414206552,-0.037186550487623315,-0.04650070373988702
2023-11-22,-0.04425420841174732,-0.03741459288535087,-0.04970186516221842
2023-11-23,-0.046711473873695786,-0.03992794674867006,-0.05538770081029987
2023-11-24,-0.043990731646625036,-0.03667614588558166,-0.050998842295327806
2023-11-27,-0.05094340164457345,-0.044260727827643453,-0.059264947857142425
2023-11-28,-0.04403942703831221,-0.03649978433548129,-0.05480383288975477
2023-11-29,-0.04812320948791615,-0.04020845201318701,-0.05602438091004969
2023-11-30,-0.03617449965186581,-0.029061066257946355,-0.04156612929030068
2023-12-01,-0.03870074963161607,-0.031864097247394696,-0.046247710639171324
2023-12-04,-0.03283397174987923,-0.02505949490219983,-0.039480889803799823
2023-12-05,-0.034389185882272244,-0.02584445541169922,-0.043935767133773784
2023-12-06,-0.01841319593093349,-0.009674825498169115,-0.028280594743792964
2023-12-07,-0.021873185036158316,-0.01025899749973791,-0.03398200536340279
2023-12-08,-0.02026751233463786,-0.009200182810043755,-0.03119366991374395
2023-12-11,-0.018774909829029185,-0.006445948962362613,-0.029848267002691498
2023-12-12,-0.014123090487410561,-0.0023240144984595368,-0.02569000068214289
2023-12-13,-0.004869254722057903,0.0,-0.015494513476072336
2023-12-14,0.0,0.0,0.0
2023-12-15,0.0,0.0,0.0
2023-12-18,-0.0002950461543671512,-0.00035152882666900087,-0.00047093771244688387
2023-12-19,0.0,0.0,0.0
2023-12-20,0.0,0.0,0.0
2023-12-21,-0.003107551678626863,-0.002569950897816642,-0.005104173678407764
2023-12-22,-0.0050137200281470395,-0.0037817055065247906,-0.007268086758963399
2023-12-27,-0.00014608098157697924,0.0,0.0
2023-12-28,0.0,0.0,0.0
2023-12-29,-0.003310346502752415,-0.0035823477614800314,-0.004063447861566871
2024-01-02,0.0,0.0,0.0
2024-01-03,-0.01158761671431996,-0.010954157086680238,-0.01406860215885819
2024-01-04,-0.018573274272088103,-0.017697672922584395,-0.021019817193533186
2024-01-05,-0.012929389174219041,-0.008951626199075413,-0.014923284313272278
2024-01-08,-0.016160658656567795,-0.012766325518271282,-0.02143713690674509
2024-01-09,-0.006904677670894088,-0.002930454007432415,-0.013492345269928707
2024-01-10,-0.01061813448821125,-0.009255946238319712,-0.016032401474872504
2024-01-11,0.0,0.0,-0.0026548188268421535
2024-01-12,-0.0023098826222378577,-0.001472404219225787,-0.004072658399195128
2024-01-15,-0.0010966945191357436,-6.103606335827738e-05,-0.0029746247721953445
2024-01-16,-0.00647070751877743,-0.006747129459748424,-0.006685905305643169
2024-01-17,-0.010001561515076696,-0.011128539156511685,-0.01178097367149844
2024-01-18,-0.010419800963166082,-0.010344048433226116,-0.014189585378549863
2024-01-19,0.0,0.0,-0.002868425658138385
2024-01-22,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.0
2024-01-24,-0.0028096402076266402,-0.004689188357974827,-0.0034779867041109247
2024-01-25,-0.0016521853715025792,-0.0028823452293107454,-0.0028870309410301553
2024-01-29,0.0,0.0,0.0
2024-01-30,-0.0007884709116539046,-0.0009639498185238793,0.0
2024-01-31,0.0,0.0,0.0
2024-02-01,-0.01798616015899346,-0.022010844338949398,-0.01910116184851718
2024-02-02,-0.004805697824814437,-0.009145493541521388,-0.004244695181743197
2024-02-05,-0.005188609570719316,-0.008632228595996772,-0.00730511208418827
2024-02-06,-0.008629147855937491,-0.013329302891129657,-0.014342234966541745
2024-02-07,-0.006392852288794715,-0.011607864194906892,-0.010484344354092845
2024-02-08,0.0,-0.0023779887517568765,-0.001100738582245242
2024-02-09,-0.0004761405467166302,-0.0021014751434491608,-0.0007344649352718502
2024-02-12,0.0,-2.9184083043753972e-05,-0.006290485806680457
2024-02-13,0.0,0.0,-0.008486744956688108
2024-02-14,-0.01257175266839361,-0.015296794098686561,-0.01887753447385354
2024-02-15,0.0,-0.0076257351613412405,-0.00301149091279751
2024-02-16,0.0,0.0,0.0
2024-02-19,0.0,0.0,0.0
2024-02-20,0.0,0.0,-0.0030076999406325466
2024-02-21,0.0,0.0,-0.0029399457643998206
2024-02-22,-0.0008199619100432987,-0.0016718376524569312,-0.0019830197488845958
2024-02-23,0.0,0.0,0.0
2024-02-26,0.0,0.0,0.0
2024-02-27,0.0,0.0,0.0
2024-02-28,-0.005769648400879346,-0.006156371801980143,-0.008291123577927384
2024-02-29,-0.0031642859742020413,-0.0032176486323393094,-0.004123243523881048
2024-03-01,0.0,0.0,-0.000424191336916957
2024-03-04,0.0,0.0,0.0
2024-03-05,-0.005458456979222093,-0.0068471758366492885,-0.005439194716826523
2024-03-06,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0
2024-03-11,-0.023527899528565266,-0.02780842775212211,-0.019281293040244507
2024-03-12,-0.02253568736295053,-0.027832289192959325,-0.01832647879949756
2024-03-13,-0.01087080642577054,-0.01855746991810625,-0.011887780389422842
2024-03-14,-0.035668496522002546,-0.042105980670092524,-0.028291010341051193
2024-03-15,-0.03661370698575506,-0.04511893758207697,-0.030639998631438403
2024-03-18,-0.0309036888773343,-0.03878770705593093,-0.024940815598208155
2024-03-19,-0.034672603818867054,-0.0427254262051221,-0.029981574919334175
2024-03-20,-0.03688954592759708,-0.044442359363206285,-0.03222451108475144
2024-03-21,-0.019557915009762228,-0.025372377944402724,-0.016115084006817715
2024-03-22,-0.022303763441319235,-0.029162372801092018,-0.019356543134308346
2024-03-25,-0.022222933293033265,-0.026234569369724237,-0.01764079745108338
2024-03-26,-0.02418442912538865,-0.02948955901986927,-0.017235308927245008
2024-03-27,-0.02160001593837768,-0.025452213456909956,-0.013732692107885747
2024-03-28,-0.01785889495682147,-0.02289554487988088,-0.008160560361053393
2024-04-02,-0.01861802299076376,-0.022898903669857806,-0.011779656477952427
2024-04-03,-0.03263927213930273,-0.0372044976342063,-0.027944517380017797
2024-04-04,-0.027552090301288024,-0.03276304497678628,-0.021746005044435135
2024-04-05,-0.030358599311640422,-0.034607869280275594,-0.026400601338285812
2024-04-08,-0.030409138057390872,-0.032865512296437416,-0.029450145356164636
