Date,Market_Level
2013-06-12,38453.46
2013-06-13,38219.92
2013-06-14,39001.27
2013-06-17,39279.02
2013-06-18,39185.16
2013-06-19,39567.95
2013-06-20,38729.67
2013-06-21,38570.24
2013-06-24,38070.45
2013-06-25,37962.95
2013-06-26,38580.63
2013-06-27,39229.38
2013-06-28,39163.27
2013-07-01,38412.11
2013-07-02,39420.98
2013-07-03,38688.04
2013-07-04,39100.8
2013-07-05,39484.88
2013-07-08,39222.14
2013-07-09,39810.32
2013-07-10,39970.99
2013-07-11,40495.72
2013-07-12,40562.47
2013-07-15,40621.36
2013-07-16,40661.41
2013-07-17,40626.07
2013-07-18,40721.8
2013-07-19,40547.86
2013-07-22,40790.64
2013-07-23,40914.97
2013-07-24,41061.45
2013-07-25,41065.86
2013-07-26,41118.17
2013-07-29,41153.24
2013-07-30,41160.7
2013-07-31,41199.66
2013-08-01,41277.23
2013-08-02,41727.98
2013-08-05,41683.05
2013-08-06,41637.2
2013-08-07,40867.91
2013-08-08,41304.22
2013-08-09,41253.34
2013-08-12,41689.79
2013-08-13,42090.61
2013-08-14,42106.59
2013-08-15,42068.07
2013-08-16,41753.66
2013-08-19,41910.57
2013-08-20,41673.06
2013-08-21,41852.36
2013-08-22,41658.29
2013-08-23,42059.96
2013-08-26,42197.7
2013-08-27,42265.18
2013-08-28,41823.43
2013-08-29,41877.95
2013-08-30,42231.38
2013-09-02,42789.11
2013-09-03,42861.13
2013-09-04,42575.31
2013-09-05,42445.46
2013-09-06,42467.92
2013-09-09,42822.78
2013-09-10,42988.83
2013-09-11,43263.4
2013-09-12,43332.13
2013-09-13,43143.8
2013-09-16,43383.98
2013-09-17,43412.1
2013-09-18,43305.36
2013-09-19,43779.98
2013-09-20,43624.67
2013-09-23,43431.49
2013-09-24,43283.0
2013-09-25,43628.47
2013-09-26,43781.59
2013-09-27,43885.83
2013-09-30,43157.87
2013-10-01,43057.98
2013-10-02,43130.4
2013-10-03,43292.11
2013-10-04,43070.58
2013-10-07,42682.67
2013-10-08,42588.26
2013-10-09,42617.95
2013-10-10,42569.6
2013-10-11,43262.09
2013-10-14,43072.09
2013-10-15,43496.24
2013-10-16,43527.35
2013-10-17,43694.36
2013-10-18,44011.66
2013-10-21,44262.3
2013-10-22,44439.07
2013-10-23,44298.07
2013-10-24,44436.93
2013-10-25,44548.25
2013-10-28,45004.54
2013-10-29,44790.46
2013-10-30,44917.23
2013-10-31,44872.92
2013-11-01,44754.38
2013-11-04,44584.08
2013-11-05,44926.74
2013-11-06,44941.98
2013-11-07,45009.14
2013-11-08,44924.32
2013-11-11,44823.42
2013-11-12,44872.95
2013-11-13,44258.59
2013-11-14,44560.23
2013-11-15,44944.98
2013-11-18,44805.49
2013-11-19,44548.93
2013-11-20,44172.44
2013-11-21,44014.64
2013-11-22,44411.92
2013-11-25,44552.77
2013-11-26,44589.08
2013-11-27,44388.17
2013-11-28,44400.36
2013-11-29,44285.13
2013-12-02,43947.73
2013-12-03,43752.57
2013-12-04,43899.73
2013-12-05,43268.82
2013-12-06,43169.43
2013-12-09,42823.18
2013-12-10,42815.94
2013-12-11,42488.77
2013-12-12,42141.37
2013-12-13,42441.6
2013-12-16,42368.4
2013-12-17,42481.5
2013-12-18,42422.48
2013-12-19,43306.27
2013-12-20,43830.59
2013-12-23,44129.77
2013-12-24,44424.12
2013-12-27,44400.32
2013-12-30,44673.35
2013-12-31,44635.11
2014-01-02,44766.02
2014-01-03,44617.46
2014-01-06,44407.13
2014-01-07,44341.33
2014-01-08,44333.5
2014-01-09,44403.23
2014-01-10,44302.95
2014-01-13,44133.58
2014-01-14,43466.2
2014-01-15,43744.57
2014-01-16,44275.32
2014-01-17,44249.42
2014-01-20,44159.16
2014-01-21,44462.87
2014-01-22,44365.31
2014-01-23,43891.8
2014-01-24,43707.86
2014-01-28,43158.92
2014-01-29,43608.41
2014-01-30,43266.94
2014-01-31,43283.12
2014-02-03,43265.68
2014-02-04,42508.05
2014-02-05,42284.93
2014-02-06,42794.42
2014-02-07,43114.22
2014-02-10,43581.22
2014-02-11,43853.16
2014-02-12,44318.44
2014-02-13,44302.86
2014-02-14,44705.2
2014-02-17,45028.3
2014-02-18,45115.96
2014-02-19,45244.96
2014-02-20,45280.3
2014-02-21,45510.83
2014-02-24,45658.94
2014-02-25,45628.91
2014-02-26,45660.75
2014-02-27,45479.6
2014-02-28,45435.69
